Name,Region,Date of Reporting ,Crop,Name of Pest/Disease,Severity of incidence,Source of Information,coordinates,s
,Ghaziabad Uttar Pradesh ,28-10-2013   ,Paddy   ,"    Shoot Borer, Army worm & Gundhibug  ",  Low  ,Online report  ,"77.6978,28.7444",
,Gautam Buddha Nagar Uttar Pradesh   ,28-10-2013   ,Paddy   ,"    Shoot Borer, Armyworm & gundhibug   ",  Low to Moderate  ,Online report  ,"77.5407,28.3968",
,Bulandshahr Uttar Pradesh   ,28-10-2013   ,Paddy   ,"    Shoot Borer, Army worm & gundhibug  ",  Low  ,Online report  ,"77.9992,28.3667",
,Jalaun Uttar Pradesh    ,28-10-2013   ,Jowar   ,    Mite    ,  Low  ,Online report  ,"79.384,26.0951",
,Hamirpur Uttar Pradesh  ,28-10-2013   ,Jowar   ,    Mite    ,  Low  ,Online report  ,"76.511,31.6705",
,Ghaziabad Uttar Pradesh ,28-10-2013   ,Brinjal    , Fruit borer ,  Mild ,Online report  ,"77.6978,28.7444",
,Shahjahanpur Uttar Pradesh  ,28-10-2013   ,Paddy   ,    Gundhi bug and leaf folder  ,  Mild ,Online report  ,"79.8343,27.9817",
,Ghazipur Uttar Pradesh  ,28-10-2013   ,Paddy   ,    Gundhi bug and leaf folder  ,  Mild ,Online report  ,"83.5489,25.6238",
,Varanasi Uttar Pradesh  ,28-10-2013   ,Paddy   ,    Gundhi bug and leaf folder  ,  Low to Moderate  ,Online report  ,"82.909,25.3906",
,Raichur Karnataka   ,28-10-2013   ,Cotton   ,   Sap sucking pest    ,  Moderate ,Online report  ,"76.8906,16.0869",
,Bellary Karnataka   ,28-10-2013   ,Cotton   ,   Sap sucking pest    ,  Moderate ,Online report  ,"76.5314,15.1073",
,Belgaum Karnataka   ,28-10-2013   ,Onion   ,    Thrips  ,  Low  ,Online report  ,"74.8249,16.1201",
,Gadag Karnataka ,28-10-2013   ,Onion   ,    Thrips  ,  Low to Moderate  ,Online report  ,"75.6667,15.4278",
,Nagapattinam Tamil Nadu ,28-10-2013   ,Coconut   ,  Eriophid Mite   ,  Low to Moderate  ,Online report  ,"79.7357,10.8499",
,Tirunelveli Tamil Nadu  ,28-10-2013   ,Coconut   ,  Coconut leaf beetle ,  Low  ,Online report  ,"77.5304,8.78558",
,Coimbatore Tamil Nadu   ,28-10-2013   ,Sugarcane   ,    Red Rot ,  Low  ,Online report  ,"77.0763,10.8432",
,Tiruvannamalai Tamil Nadu   ,28-10-2013   ,Sugarcane   ,    Top borer   ,  Low to Moderate  ,Online report  ,"79.1545,12.4187",
,Madurai Tamil Nadu  ,28-10-2013   ,Paddy   ,    Leaf folder ,  Low  ,Online report  ,"77.9896,9.90989",
,Raigarh Chhattisgarh    ,28-10-2013   ,Paddy   ,"    Leaf folder, Stem borer, Hispa & leaf Blast ",  Low  ,Online report  ,"83.2995,22.0833",
,Raipur Chhattisgarh ,28-10-2013   ,Paddy   ,"    Leaf folder, Stem borer, Hispa & leaf Blast ",  Low  ,Online report  ,"82.1683,21.0687",
,Bilaspur Chhattisgarh   ,28-10-2013   ,Paddy   ,"    Leaf folder, Stem borer, Hispa & leaf Blast ",  Low  ,Online report  ,"81.9559,22.3451",
,Jammu Jammu Kashmir ,28-10-2013   ,Paddy   ,"    False smut, Bacterial leaf blight & Brown spot  ",  Moderate ,Online report  ,"74.8353,32.7403",
,Dharmapuri Tamil Nadu   ,28-10-2013   ,Groundnut   ,    Leaf Minor  ,  Low  ,Online report  ,"78.1869,12.0922",
